id,reading_time,value,station_id,parameter_id
5653385680,2017-04-18 12:00:05,-1,1161114067,142
5653385681,2017-04-18 12:00:07,0,1161114067,142
5653385683,2017-04-18 12:00:07,227,1161114002,121
5653385684,2017-04-18 12:00:07,226,1161114002,121
5653385685,2017-04-18 12:00:08,0,1161114002,142
5653385690,2017-04-18 12:02:01,226,1161114030,121
5653385691,2017-04-18 12:02:03,42.5,1161114030,115
5653385697,2017-04-18 12:00:18,220,1161114065,121
5653385698,2017-04-18 12:00:32,232,1161114069,121
5653385705,2017-04-18 12:00:00,201,1161115024,121
5653383976,2017-04-18 12:00:40,1,1161115012,142
5653383977,2017-04-18 12:00:40,2.8,1161115012,161
5653383978,2017-04-18 12:00:41,0,1161115012,142
5653383979,2017-04-18 12:00:41,1,1161115012,142
5653383980,2017-04-18 12:00:42,0,1161115012,142
5653380357,2017-04-18 12:00:00,227,1161114030,121
5653380878,2017-04-18 12:00:12,38.5,1161114030,115
5653380879,2017-04-18 12:00:13,227,1161114030,121
5653380880,2017-04-18 12:00:13,226,1161114030,121
5653380464,2017-04-18 12:00:02,1,1161114030,142
5653380465,2017-04-18 12:00:02,0,1161114030,142
5653380466,2017-04-18 12:00:03,226,1161114030,121
5653380467,2017-04-18 12:00:04,227,1161114030,121
5653380673,2017-04-18 12:00:08,226,1161114030,121
5653380674,2017-04-18 12:00:08,1,1161114030,142
5653380675,2017-04-18 12:00:09,0,1161114030,142
5653380676,2017-04-18 12:00:09,1,1161114030,142
5653380677,2017-04-18 12:00:09,0,1161114030,142
5653380606,2017-04-18 12:00:06,226,1161114030,121
5653380607,2017-04-18 12:00:08,227,1161114030,121
5653381050,2017-04-18 12:00:15,227,1161114030,121
5653381051,2017-04-18 12:00:16,228,1161114030,121
5653381052,2017-04-18 12:00:17,227,1161114030,121
5653381210,2017-04-18 12:00:20,228,1161114030,121
5653381211,2017-04-18 12:00:21,227,1161114030,121
5653381454,2017-04-18 12:00:26,228,1161114030,121
5653381456,2017-04-18 12:00:27,227,1161114030,121
5653381458,2017-04-18 12:00:27,228,1161114030,121
5653382089,2017-04-18 12:00:37,226,1161114030,121
5653382090,2017-04-18 12:00:38,227,1161114030,121
5653381563,2017-04-18 12:00:28,227,1161114030,121
5653381564,2017-04-18 12:00:29,228,1161114030,121
5653381767,2017-04-18 12:00:31,229,1161114030,121
5653381768,2017-04-18 12:00:32,228,1161114030,121
5653381867,2017-04-18 12:00:02,0,1161114001,142
5653381921,2017-04-18 12:00:34,39.5,1161114030,115
5653381922,2017-04-18 12:00:35,227,1161114030,121
5653382567,2017-04-18 12:00:18,0,1161114001,142
5653382568,2017-04-18 12:00:07,14,1161115012,113
5653382245,2017-04-18 12:00:09,1,1161114001,142
5653382246,2017-04-18 12:00:10,0,1161114001,142
5653382177,2017-04-18 12:00:07,194,1161114001,121
5653383831,2017-04-18 12:00:10,60,1161115036,115
5653383841,2017-04-18 12:00:37,1,1161115012,142
5653383842,2017-04-18 12:00:38,0,1161115012,142
5653383843,2017-04-18 12:00:31,21.5,1161114049,113
5653384720,2017-04-18 12:00:02,221,1161115020,121
5653384723,2017-04-18 12:00:42,0,1161114043,142
5653384820,2017-04-18 12:01:10,1.6,1161114001,161
5653382314,2017-04-18 12:00:11,1,1161114001,142
5653382405,2017-04-18 12:00:14,0,1161114001,142
5653382482,2017-04-18 12:00:16,193,1161114001,121
5653382484,2017-04-18 12:00:17,194,1161114001,121
5653382486,2017-04-18 12:00:17,1,1161114001,142
5653382341,2017-04-18 12:00:43,1,1161114030,142
5653382342,2017-04-18 12:00:44,0,1161114030,142
5653382343,2017-04-18 12:00:44,1,1161114030,142
5653382344,2017-04-18 12:00:44,0,1161114030,142
5653382506,2017-04-18 12:00:47,226,1161114030,121
5653382507,2017-04-18 12:00:49,1,1161114030,142
5653382508,2017-04-18 12:00:49,227,1161114030,121
5653382509,2017-04-18 12:00:49,0,1161114030,142
5653382666,2017-04-18 12:00:51,226,1161114030,121
5653382751,2017-04-18 12:00:22,1,1161114001,142
5653382795,2017-04-18 12:00:24,196,1161114001,121
5653382796,2017-04-18 12:00:24,13.5,1161114001,122
5653382797,2017-04-18 12:00:24,0,1161114001,142
5653382798,2017-04-18 12:00:24,2.6,1161114001,161
5653382799,2017-04-18 12:00:25,12,1161114001,122
5653382800,2017-04-18 12:00:25,1,1161114001,142
5653382801,2017-04-18 12:00:25,2.4,1161114001,161
5653382802,2017-04-18 12:00:25,0,1161114001,142
5653382675,2017-04-18 12:00:11,45,1161115012,115
5653382769,2017-04-18 12:00:12,2.8,1161115012,161
5653382896,2017-04-18 12:00:14,3,1161115012,161
5653382897,2017-04-18 12:00:15,2.8,1161115012,161
5653382917,2017-04-18 12:00:26,198,1161114001,121
5653382918,2017-04-18 12:00:26,10,1161114001,122
5653382919,2017-04-18 12:00:26,2,1161114001,161
5653382920,2017-04-18 12:00:27,8.5,1161114001,122
5653382921,2017-04-18 12:00:27,1.6,1161114001,161
5653382819,2017-04-18 12:00:55,225,1161114030,121
5653383029,2017-04-18 12:00:18,3,1161115012,161
5653383051,2017-04-18 12:01:01,226,1161114030,121
5653383052,2017-04-18 12:01:02,40.5,1161114030,115
5653383053,2017-04-18 12:01:02,227,1161114030,121
5653383059,2017-04-18 12:00:11,20.5,1161114049,113
5653383060,2017-04-18 12:00:12,36.5,1161114049,115
5653383036,2017-04-18 12:00:30,1,1161114001,142
5653383037,2017-04-18 12:00:31,0,1161114001,142
5653383121,2017-04-18 12:00:33,1,1161114001,142
5653383429,2017-04-18 12:00:41,1.6,1161114001,161
5653383430,2017-04-18 12:00:41,13,1161114001,112
5653383614,2017-04-18 12:01:15,228,1161114030,121
5653383615,2017-04-18 12:01:15,229,1161114030,121
5653383616,2017-04-18 12:01:16,228,1161114030,121
5653383617,2017-04-18 12:01:17,1,1161114030,142
5653383643,2017-04-18 12:00:44,1.8,1161114001,161
5653383753,2017-04-18 12:00:35,3,1161115012,161
5653383754,2017-04-18 12:00:37,230,1161115012,121
5653383227,2017-04-18 12:00:34,0,1161114001,142
5653383252,2017-04-18 12:00:23,37,1161115012,114
5653383269,2017-04-18 12:01:06,229,1161114030,121
5653383270,2017-04-18 12:01:08,228,1161114030,121
5653383345,2017-04-18 12:01:09,229,1161114030,121
5653383421,2017-04-18 12:00:05,214,1161114037,121
5653383422,2017-04-18 12:00:00,215,1161115036,121
5653383423,2017-04-18 12:00:01,216,1161115036,121
5653383424,2017-04-18 12:00:02,215,1161115036,121
5653383220,2017-04-18 12:01:04,228,1161114030,121
5653383331,2017-04-18 12:00:37,1.8,1161114001,161
5653383336,2017-04-18 12:00:03,213,1161114037,121
5653383413,2017-04-18 12:00:28,233,1161115012,121
5653383414,2017-04-18 12:00:29,232,1161115012,121
5653383460,2017-04-18 12:00:03,1,1161114043,142
