[[5644711048.0], [13.5], [1161114004.0], [122.0], [1.492330699e+18], [-0.1929495355022222]],[0.09742120343839543],-0.1567312
[[5644711115.0], [12.5], [1161114004.0], [122.0], [1.4923307e+18], [-0.19267175772444445]],[-0.10315186246418337],-0.1567312
[[5644711117.0], [11.0], [1161114004.0], [122.0], [1.4923307e+18], [-0.19267175772444445]],[-0.40401146131805155],-0.1567312
[[5644711119.0], [9.5], [1161114004.0], [122.0], [1.492330701e+18], [-0.19239397994666665]],[-0.7048710601719198],-0.1567312
[[5644711198.0], [8.5], [1161114004.0], [122.0], [1.492330702e+18], [-0.1921162021688889]],[-0.9054441260744985],-0.1567312
[[5644722478.0], [10.5], [1161114004.0], [122.0], [1.492330945e+18], [-0.12461620216888888]],[-0.504297994269341],-0.1567312
[[5644722474.0], [9.5], [1161114004.0], [122.0], [1.492330945e+18], [-0.12461620216888888]],[-0.7048710601719198],-0.1567312
[[5644722481.0], [11.5], [1161114004.0], [122.0], [1.492330946e+18], [-0.1243384243911111]],[-0.3037249283667622],-0.1567312
[[5644722585.0], [13.0], [1161114004.0], [122.0], [1.492330947e+18], [-0.12406064661333334]],[-0.0028653295128939727],-0.1567312
[[5644722587.0], [14.5], [1161114004.0], [122.0], [1.492330948e+18], [-0.12378286883555556]],[0.2979942693409742],-0.1567312
[[5644722590.0], [16.0], [1161114004.0], [122.0], [1.492330949e+18], [-0.12350509105777778]],[0.5988538681948424],-0.1567312
[[5644722721.0], [17.0], [1161114004.0], [122.0], [1.49233095e+18], [-0.12322731328]],[0.7994269340974212],-0.1567312
[[5644725110.0], [16.0], [1161114004.0], [122.0], [1.492330995e+18], [-0.11072731328]],[0.5988538681948424],-0.1567312
[[5644730275.0], [17.0], [1161114004.0], [122.0], [1.492331102e+18], [-0.08100509105777778]],[0.7994269340974212],-0.1567312
[[5644730355.0], [15.5], [1161114004.0], [122.0], [1.492331104e+18], [-0.08044953550222222]],[0.498567335243553],-0.1567312
[[5644730358.0], [14.0], [1161114004.0], [122.0], [1.492331104e+18], [-0.08044953550222222]],[0.19770773638968483],-0.1567312
[[5644730361.0], [12.5], [1161114004.0], [122.0], [1.492331106e+18], [-0.07989397994666667]],[-0.10315186246418337],-0.1567312
[[5644730489.0], [11.5], [1161114004.0], [122.0], [1.492331106e+18], [-0.07989397994666667]],[-0.3037249283667622],-0.1567312
[[5644730492.0], [10.0], [1161114004.0], [122.0], [1.492331107e+18], [-0.07961620216888889]],[-0.6045845272206304],-0.1567312
[[5644730495.0], [8.5], [1161114004.0], [122.0], [1.492331108e+18], [-0.0793384243911111]],[-0.9054441260744985],-0.1567312
[[5644740964.0], [11.0], [1161114004.0], [122.0], [1.492331328e+18], [-0.01822731328]],[-0.40401146131805155],-0.1567312
[[5644740961.0], [10.0], [1161114004.0], [122.0], [1.492331328e+18], [-0.01822731328]],[-0.6045845272206304],-0.1567312
[[5644741072.0], [12.5], [1161114004.0], [122.0], [1.492331329e+18], [-0.01794953550222222]],[-0.10315186246418337],-0.1567312
[[5644741075.0], [14.0], [1161114004.0], [122.0], [1.49233133e+18], [-0.017671757724444445]],[0.19770773638968483],-0.1567312
[[5644741077.0], [15.5], [1161114004.0], [122.0], [1.492331331e+18], [-0.017393979946666666]],[0.498567335243553],-0.1567312
[[5644741159.0], [17.0], [1161114004.0], [122.0], [1.492331332e+18], [-0.01711620216888889]],[0.7994269340974212],-0.1567312
[[5644743207.0], [16.0], [1161114004.0], [122.0], [1.492331376e+18], [-0.004893979946666667]],[0.5988538681948424],-0.1567312
[[5644747972.0], [15.0], [1161114004.0], [122.0], [1.492331471e+18], [0.021494908942222224]],[0.3982808022922636],-0.1567312
[[5644747975.0], [13.5], [1161114004.0], [122.0], [1.492331472e+18], [0.02177268672]],[0.09742120343839543],-0.1567312
[[5644748077.0], [11.0], [1161114004.0], [122.0], [1.492331473e+18], [0.022050464497777776]],[-0.40401146131805155],-0.1567312
[[5644747978.0], [12.0], [1161114004.0], [122.0], [1.492331473e+18], [0.022050464497777776]],[-0.20343839541547276],-0.1567312
[[5644748080.0], [9.5], [1161114004.0], [122.0], [1.492331474e+18], [0.022328242275555556]],[-0.7048710601719198],-0.1567312
[[5644748083.0], [8.0], [1161114004.0], [122.0], [1.492331475e+18], [0.022606020053333332]],[-1.005730659025788],-0.1567312
[[5644757301.0], [9.0], [1161114004.0], [122.0], [1.492331654e+18], [0.07232824227555555]],[-0.8051575931232091],-0.1567312
[[5644757406.0], [10.0], [1161114004.0], [122.0], [1.492331655e+18], [0.07260602005333333]],[-0.6045845272206304],-0.1567312
[[5644757409.0], [11.0], [1161114004.0], [122.0], [1.492331656e+18], [0.07288379783111111]],[-0.40401146131805155],-0.1567312
[[5644757411.0], [12.5], [1161114004.0], [122.0], [1.492331657e+18], [0.07316157560888889]],[-0.10315186246418337],-0.1567312
[[5644757496.0], [15.5], [1161114004.0], [122.0], [1.492331658e+18], [0.07343935338666667]],[0.498567335243553],-0.1567312
[[5644757493.0], [14.0], [1161114004.0], [122.0], [1.492331658e+18], [0.07343935338666667]],[0.19770773638968483],-0.1567312
[[5644757601.0], [16.5], [1161114004.0], [122.0], [1.49233166e+18], [0.07399490894222223]],[0.6991404011461319],-0.1567312
[[5644758171.0], [17.5], [1161114004.0], [122.0], [1.492331672e+18], [0.07732824227555556]],[0.8997134670487106],-0.1567312
[[5644759673.0], [16.5], [1161114004.0], [122.0], [1.492331704e+18], [0.08621713116444445]],[0.6991404011461319],-0.1567312
[[5644764549.0], [15.0], [1161114004.0], [122.0], [1.492331806e+18], [0.11455046449777778]],[0.3982808022922636],-0.1567312
[[5644673191.0], [16.0], [1161114004.0], [122.0], [1.492329899e+18], [-0.4151717577244444]],[0.5988538681948424],-0.1567312
[[5644678122.0], [17.0], [1161114004.0], [122.0], [1.49233e+18], [-0.38711620216888887]],[0.7994269340974212],-0.1567312
[[5644678434.0], [15.0], [1161114004.0], [122.0], [1.492330008e+18], [-0.3848939799466667]],[0.3982808022922636],-0.1567312
[[5644678536.0], [13.5], [1161114004.0], [122.0], [1.492330009e+18], [-0.38461620216888887]],[0.09742120343839543],-0.1567312
[[5644678539.0], [12.5], [1161114004.0], [122.0], [1.492330009e+18], [-0.38461620216888887]],[-0.10315186246418337],-0.1567312
[[5644678541.0], [11.0], [1161114004.0], [122.0], [1.49233001e+18], [-0.3843384243911111]],[-0.40401146131805155],-0.1567312
[[5644678637.0], [10.0], [1161114004.0], [122.0], [1.492330011e+18], [-0.38406064661333333]],[-0.6045845272206304],-0.1567312
[[5644678639.0], [8.5], [1161114004.0], [122.0], [1.492330012e+18], [-0.38378286883555557]],[-0.9054441260744985],-0.1567312
[[5644688356.0], [10.5], [1161114004.0], [122.0], [1.492330232e+18], [-0.32267175772444445]],[-0.504297994269341],-0.1567312
[[5644688358.0], [11.5], [1161114004.0], [122.0], [1.492330233e+18], [-0.3223939799466667]],[-0.3037249283667622],-0.1567312
[[5644688410.0], [13.0], [1161114004.0], [122.0], [1.492330233e+18], [-0.3223939799466667]],[-0.0028653295128939727],-0.1567312
[[5644688412.0], [14.0], [1161114004.0], [122.0], [1.492330234e+18], [-0.32211620216888887]],[0.19770773638968483],-0.1567312
[[5644688414.0], [15.5], [1161114004.0], [122.0], [1.492330235e+18], [-0.3218384243911111]],[0.498567335243553],-0.1567312
[[5644688518.0], [16.5], [1161114004.0], [122.0], [1.492330236e+18], [-0.32156064661333333]],[0.6991404011461319],-0.1567312
[[5644691868.0], [15.5], [1161114004.0], [122.0], [1.492330288e+18], [-0.3071162021688889]],[0.498567335243553],-0.1567312
[[5644695026.0], [12.5], [1161114004.0], [122.0], [1.492330352e+18], [-0.2893384243911111]],[-0.10315186246418337],-0.1567312
